1540452139.000000, 1540452139.000000, 1540452139.000000
32.000000, 32.000000, 32.000000
28,-87,12
29,-78,15
29,-44,20
29,-37,22
29,-46,17
21,-69,8
18,-70,5
20,-61,7
10,-57,4
27,-43,11
23,-43,7
26,-43,8
23,-46,9
24,-47,10
24,-46,14
24,-45,14
25,-50,15
26,-58,14
26,-72,12
27,-73,12
27,-81,9
29,-88,10
30,-75,10
31,-48,11
26,-41,8
27,-49,0
25,-63,-1
27,-79,0
17,-71,-1
19,-63,2
19,-53,1
19,-52,0
18,-53,-2
17,-52,-3
18,-52,-1
17,-52,1
18,-50,2
19,-56,2
20,-60,2
19,-64,3
18,-63,3
24,-72,4
27,-77,4
29,-80,8
31,-71,11
30,-46,16
25,-40,15
22,-48,10
21,-69,5
19,-75,5
17,-64,5
26,-58,11
25,-52,14
26,-50,15
26,-48,13
22,-48,10
21,-51,8
22,-63,6
21,-69,5
18,-69,3
16,-63,3
17,-55,4
17,-55,2
17,-56,-1
19,-57,-1
20,-56,0
21,-55,1
20,-56,1
20,-60,0
20,-61,0
21,-65,1
21,-71,0
21,-69,0
21,-61,1
21,-56,2
22,-57,3
22,-58,2
23,-64,2
24,-64,2
23,-64,2
23,-61,2
23,-60,2
22,-58,2
23,-58,2
21,-61,-1
22,-63,-1
22,-69,-3
23,-72,-3
22,-69,3
23,-55,7
24,-52,11
22,-60,14
19,-61,12
16,-55,14
15,-52,16
17,-50,22
18,-53,24
19,-56,24
18,-58,24
18,-56,23
19,-58,23
20,-58,22
20,-57,19
20,-56,19
21,-55,17
21,-56,16
21,-56,14
22,-56,13
23,-56,13
23,-56,11
24,-55,10
25,-56,9
26,-57,10
26,-61,10
25,-61,9
26,-60,10
25,-58,10
25,-57,10
25,-57,10
24,-58,10
25,-59,11
24,-59,11
24,-58,12
23,-57,12
22,-58,11
22,-59,10
21,-59,10
21,-58,9
21,-58,8
22,-57,6
23,-56,6
23,-56,5
24,-56,6
25,-56,6
25,-57,8
25,-58,8
25,-58,9
25,-59,10
25,-59,10
26,-58,11
26,-57,11
25,-57,10
25,-56,9
25,-57,9
25,-58,8
24,-58,8
24,-59,7
24,-58,7
23,-58,7
23,-57,6
23,-58,7
24,-58,7
24,-58,7
24,-58,8
24,-58,8
24,-59,8
24,-58,8
25,-58,8
25,-58,8
24,-58,8
24,-58,8
24,-58,7
25,-58,8
25,-58,7
24,-57,7
25,-57,6
25,-57,6
25,-57,6
25,-58,6
24,-58,6
24,-58,6
24,-58,6
23,-58,6
23,-59,7
23,-59,7
22,-59,8
22,-59,8
23,-59,8
23,-58,9
23,-58,8
24,-58,8
24,-58,7
24,-58,7
24,-58,7
24,-58,7
24,-58,7
24,-58,7
24,-58,7
24,-58,7
24,-58,7
24,-58,8
23,-58,7
23,-58,7
24,-58,7
23,-58,7
23,-58,7
23,-58,7
23,-58,8
24,-58,7
24,-58,8
24,-58,7
24,-58,6
23,-58,7
24,-58,7
23,-58,7
24,-58,7
24,-58,8
23,-58,8
22,-58,8
24,-59,8
23,-59,7
24,-58,7
24,-58,6
24,-58,6
24,-58,6
24,-58,6
24,-58,6
24,-58,7
24,-58,6
24,-58,6
24,-58,6
24,-58,6
23,-59,7
23,-58,7
23,-58,6
24,-58,7
24,-58,6
23,-59,6
23,-59,6
23,-58,6
23,-58,6
23,-59,6
23,-59,6
23,-58,6
23,-58,6
23,-58,6
23,-58,7
23,-58,6
23,-58,6
23,-58,7
23,-59,6
23,-58,7
23,-58,7
23,-59,6
23,-59,7
24,-58,6
23,-58,7
23,-58,7
24,-58,7
24,-58,7
23,-58,7
23,-58,7
23,-58,7
23,-58,7
24,-58,7
23,-58,7
23,-58,7
23,-58,7
23,-58,6
23,-58,7
23,-58,7
23,-59,7
23,-58,7
23,-58,6
23,-58,6
23,-58,7
23,-58,7
23,-58,7
23,-58,7
23,-58,7
23,-58,7
23,-58,7
23,-58,7
23,-58,6
23,-58,7
23,-59,6
23,-59,7
23,-58,7
23,-58,7
23,-58,7
23,-58,7
23,-59,7
23,-58,7
23,-58,7
23,-58,7
23,-58,7
23,-58,7
23,-58,7
24,-58,7
24,-58,7
24,-58,7
23,-59,7
23,-58,7
23,-58,7
23,-58,7
24,-58,7
23,-58,8
24,-58,7
24,-58,8
24,-59,7
24,-59,8
24,-58,8
24,-58,8
24,-58,8
23,-57,8
23,-57,7
23,-57,6
23,-57,6
23,-57,6
23,-57,6
23,-57,6
23,-57,8
23,-57,8
23,-58,8
24,-58,8
24,-58,8
25,-58,8
24,-58,8
25,-57,8
25,-57,8
24,-58,7
24,-58,7
24,-57,7
24,-58,6
24,-58,7
24,-58,6
23,-58,7
23,-58,8
23,-58,8
23,-58,8
23,-58,8
23,-58,8
23,-58,8
23,-58,7
23,-59,8
23,-59,8
23,-59,8
23,-59,8
23,-59,9
24,-58,9
24,-57,9
24,-56,9
24,-56,8
25,-56,7
25,-56,6
25,-55,6
25,-55,5
25,-54,5
25,-54,4
26,-59,3
26,-62,3
25,-61,2
26,-61,2
26,-61,2
25,-63,1
25,-61,1
26,-58,2
26,-58,3
25,-58,3
24,-58,3
24,-58,3
22,-61,2
23,-63,3
22,-64,3
23,-64,2
24,-65,3
25,-68,3
23,-65,5
24,-61,7
24,-61,7
23,-62,9
23,-59,10
21,-50,9
20,-48,9
19,-50,8
19,-54,8
20,-64,10
20,-62,10
20,-59,10
20,-53,12
21,-51,12
24,-50,14
24,-51,14
24,-55,14
23,-58,13
22,-57,13
22,-55,12
22,-55,11
23,-54,10
22,-54,9
22,-55,7
22,-57,7
23,-59,8
22,-58,7
22,-57,8
21,-58,10
20,-58,9
24,-65,11
24,-67,11
27,-76,9
26,-78,10
24,-70,10
21,-50,9
20,-48,8
