1540452940.000000, 1540452940.000000, 1540452940.000000
32.000000, 32.000000, 32.000000
28,-57,4
27,-56,5
26,-56,5
26,-57,6
25,-56,5
26,-56,6
26,-56,6
24,-53,6
23,-52,5
24,-52,5
24,-53,4
23,-58,3
23,-62,2
25,-63,3
28,-61,5
27,-60,6
27,-57,7
27,-56,8
26,-57,7
25,-57,7
25,-59,7
26,-60,5
25,-59,5
25,-59,5
25,-58,4
26,-58,5
25,-58,5
25,-57,4
25,-57,4
26,-59,4
26,-60,5
26,-60,5
25,-58,6
25,-57,5
25,-57,5
25,-57,6
26,-58,6
26,-58,5
26,-58,5
26,-58,5
26,-58,5
26,-58,4
25,-57,5
26,-57,4
26,-57,5
24,-57,4
25,-57,4
25,-57,5
25,-56,4
25,-55,5
25,-55,6
24,-55,6
22,-55,5
23,-54,6
24,-53,4
23,-54,4
23,-62,4
25,-63,4
26,-61,4
27,-58,5
26,-57,6
24,-57,6
24,-57,5
26,-57,6
27,-59,5
27,-58,5
27,-59,5
27,-59,5
27,-58,4
27,-58,4
27,-59,4
27,-59,4
25,-58,3
25,-58,3
25,-58,3
25,-58,4
25,-58,4
25,-60,4
25,-59,4
25,-58,5
26,-58,6
25,-59,6
25,-58,6
25,-58,5
26,-58,5
26,-59,5
25,-58,5
25,-58,5
25,-58,4
25,-57,4
25,-58,3
25,-58,3
25,-58,4
25,-57,3
25,-55,5
26,-56,4
25,-55,5
24,-56,4
25,-56,4
25,-56,5
24,-57,4
24,-57,4
24,-56,5
23,-55,5
22,-53,4
23,-54,4
24,-57,4
24,-62,3
25,-64,3
26,-63,4
25,-60,4
25,-57,5
25,-57,5
25,-57,5
25,-58,5
26,-58,5
26,-59,4
26,-58,4
26,-59,4
27,-60,4
26,-57,4
26,-57,4
25,-58,3
25,-58,3
25,-59,3
25,-59,3
25,-60,4
25,-57,4
26,-57,5
24,-58,4
24,-59,4
25,-58,4
25,-57,4
25,-56,5
24,-56,3
24,-57,3
27,-58,4
28,-59,3
26,-60,3
26,-60,3
27,-59,3
27,-58,3
26,-57,3
26,-57,3
25,-57,3
25,-56,3
26,-56,4
25,-58,4
25,-56,4
24,-55,4
24,-56,4
24,-56,5
23,-58,4
23,-60,4
23,-63,4
24,-63,5
25,-58,6
24,-56,6
24,-56,6
23,-56,6
23,-57,6
24,-58,6
24,-58,6
24,-57,6
24,-58,5
24,-58,5
24,-59,5
24,-56,5
24,-57,5
24,-57,5
24,-59,5
25,-59,5
25,-60,6
25,-59,6
26,-60,7
26,-60,8
26,-59,8
25,-57,8
24,-56,8
25,-55,8
25,-57,7
25,-58,6
25,-58,5
25,-59,5
25,-59,5
25,-58,5
25,-57,5
25,-57,5
26,-57,6
26,-57,6
26,-57,6
26,-57,7
25,-57,6
25,-56,6
26,-57,7
25,-57,6
24,-56,6
23,-56,5
24,-55,6
24,-56,5
23,-55,5
22,-51,5
22,-52,5
22,-57,3
25,-62,3
25,-62,4
26,-60,5
25,-59,5
22,-58,5
22,-58,5
25,-57,7
26,-57,6
25,-59,5
26,-59,5
27,-59,6
26,-59,5
25,-58,4
26,-58,4
26,-59,3
24,-59,3
25,-59,2
24,-58,3
24,-60,2
24,-60,3
25,-59,4
24,-60,4
24,-61,4
24,-59,5
23,-61,5
23,-60,5
22,-59,4
23,-58,4
23,-58,4
23,-58,2
23,-59,2
23,-59,2
24,-59,2
24,-58,3
24,-58,3
24,-57,3
23,-57,3
24,-58,3
24,-58,4
24,-57,4
24,-56,4
24,-57,4
24,-57,4
23,-57,4
23,-56,4
22,-56,4
22,-55,4
22,-56,2
22,-58,2
23,-62,2
23,-63,2
24,-61,3
25,-58,4
24,-58,4
23,-58,5
23,-59,5
23,-60,5
24,-60,5
25,-59,5
24,-58,5
25,-59,5
24,-59,4
24,-58,4
25,-58,4
25,-58,3
27,-58,4
24,-59,3
17,-58,1
20,-60,2
25,-60,4
27,-60,5
27,-59,5
22,-60,4
22,-60,4
24,-60,5
24,-59,5
23,-58,5
23,-58,4
23,-58,3
24,-58,4
24,-58,4
25,-59,3
26,-59,4
24,-59,4
22,-59,3
23,-59,4
24,-58,5
23,-58,4
23,-57,5
24,-58,5
23,-56,4
22,-56,4
25,-57,5
26,-57,5
23,-58,3
23,-57,4
23,-55,4
21,-54,3
21,-54,3
22,-58,2
23,-59,3
22,-63,3
23,-63,3
24,-60,4
25,-58,5
23,-58,5
22,-58,5
23,-59,5
24,-60,5
24,-59,5
24,-58,6
25,-58,5
24,-59,5
24,-59,4
24,-59,4
24,-60,3
24,-60,3
23,-60,4
23,-61,3
22,-61,4
23,-60,4
24,-57,5
23,-58,5
23,-59,5
22,-60,5
23,-60,5
23,-61,4
24,-61,4
24,-59,4
23,-59,4
23,-57,4
23,-58,5
22,-58,4
23,-58,4
25,-58,5
26,-58,5
26,-58,4
23,-60,6
21,-59,4
23,-56,4
27,-56,6
26,-56,6
21,-56,4
23,-56,4
24,-57,5
23,-57,5
22,-57,4
23,-56,5
22,-54,4
21,-58,4
21,-58,3
24,-62,4
24,-63,4
23,-61,4
24,-61,4
26,-58,6
25,-57,5
23,-57,4
24,-59,4
24,-59,4
22,-61,4
22,-60,2
24,-59,4
23,-59,4
24,-60,4
23,-59,4
22,-59,4
23,-59,4
23,-59,4
23,-59,4
23,-60,4
21,-59,3
22,-59,3
23,-58,4
21,-60,4
21,-60,3
23,-59,5
23,-58,5
22,-59,4
22,-59,3
24,-59,4
25,-59,4
25,-59,3
23,-60,3
23,-60,3
25,-59,4
25,-58,4
22,-58,3
22,-58,3
