,still,still_music,hand_up,hand_down,walking,running,after_sprint,tapping_fingers,tapping_foot,flexing
226,1.1500000000000004,1.1999999999999993,1.1500000000000021,0.0600000000000005,1.2300000000000004,1.240000000000002,1.1900000000000013,0.9600000000000009,1.1500000000000004,0.75
227,1.2099999999999973,1.259999999999998,1.2199999999999989,1.1399999999999997,1.2799999999999976,1.2899999999999991,1.2399999999999984,1.0199999999999996,1.2099999999999973,0.8100000000000005
228,1.25,1.2800000000000011,1.2600000000000016,1.74,1.2699999999999996,1.3000000000000007,1.2699999999999996,1.08,1.25,0.8499999999999996
229,1.2800000000000011,1.2699999999999996,1.2899999999999991,1.6600000000000001,1.240000000000002,1.25,1.2800000000000011,1.1300000000000008,1.2800000000000011,0.9299999999999997
230,1.25,1.1999999999999993,1.259999999999998,0.9,1.1099999999999994,1.129999999999999,1.2199999999999989,1.1799999999999997,1.2600000000000016,0.9800000000000004
231,1.1400000000000006,1.0300000000000011,1.1600000000000001,-0.39,0.8900000000000006,0.9100000000000001,1.0700000000000003,1.2100000000000009,1.1600000000000001,1.0299999999999994
232,0.9699999999999989,0.75,0.9700000000000024,-2.06,0.5399999999999991,0.5799999999999983,0.8399999999999999,1.1899999999999977,0.9899999999999984,1.0999999999999996
233,0.6500000000000021,0.3500000000000014,0.6699999999999982,-3.8400000000000003,0.08000000000000185,0.11000000000000298,0.46000000000000085,1.1099999999999994,0.6900000000000013,1.1799999999999997
234,0.23999999999999844,-0.1700000000000017,0.240000000000002,-5.23,-0.490000000000002,-0.45000000000000284,-0.010000000000001563,0.9400000000000013,0.2799999999999976,1.2600000000000016
235,-0.3099999999999987,-0.8099999999999987,-0.3200000000000003,-5.399999999999999,-1.1699999999999982,-1.1499999999999986,-0.6199999999999974,0.6600000000000001,-0.2699999999999996,1.3299999999999983
236,-0.9400000000000013,-1.5,-0.9500000000000028,-3.5900000000000016,-1.870000000000001,-1.8999999999999986,-1.2900000000000027,0.26000000000000156,-0.8999999999999986,1.4200000000000017
237,-1.6499999999999986,-2.2300000000000004,-1.6699999999999982,0.370000000000001,-2.6099999999999994,-2.700000000000003,-2.0199999999999996,-0.25,-1.6099999999999994,1.4899999999999984
238,-2.3599999999999994,-2.9400000000000013,-2.3999999999999986,5.77,-3.2500000000000018,-3.459999999999999,-2.7300000000000004,-0.8800000000000026,-2.330000000000002,1.5300000000000011
239,-3.0400000000000027,-3.5999999999999996,-3.0900000000000034,10.82,-3.8499999999999996,-4.18,-3.389999999999999,-1.5700000000000003,-3.0299999999999976,1.5199999999999996
240,-3.669999999999998,-4.109999999999999,-3.719999999999999,13.72,-4.26,-4.7,-3.960000000000001,-2.299999999999997,-3.6700000000000017,1.4499999999999993
241,-4.130000000000001,-4.4399999999999995,-4.18,13.159999999999998,-4.49,-5.029999999999999,-4.329999999999999,-3.0200000000000014,-4.15,1.2699999999999996
242,-4.42,-4.5600000000000005,-4.46,9.260000000000002,-4.5,-5.08,-4.53,-3.630000000000001,-4.4399999999999995,1.0
243,-4.52,-4.48,-4.54,3.450000000000003,-4.31,-4.89,-4.49,-4.169999999999999,-4.54,0.5700000000000003
244,-4.37,-4.17,-4.41,-2.190000000000005,-3.920000000000001,-4.460000000000001,-4.25,-4.49,-4.41,0.0400000000000027
245,-4.05,-3.6799999999999997,-4.049999999999999,-5.979999999999997,-3.3599999999999994,-3.8499999999999996,-3.8099999999999987,-4.61,-4.079999999999999,-0.610000000000003
246,-3.530000000000001,-3.0299999999999994,-3.5500000000000007,-7.440000000000001,-2.709999999999999,-3.129999999999999,-3.2600000000000016,-4.52,-3.5600000000000005,-1.3200000000000003
247,-2.889999999999999,-2.3100000000000005,-2.8900000000000006,-7.16,-2.0000000000000018,-2.3500000000000014,-2.599999999999998,-4.199999999999999,-2.92,-2.09
248,-2.150000000000002,-1.5300000000000011,-2.1599999999999984,-6.24,-1.2699999999999996,-1.5500000000000007,-1.9299999999999997,-3.6700000000000017,-2.17,-2.799999999999997
249,-1.4099999999999966,-0.75,-1.4000000000000021,-5.48,-0.5599999999999987,-0.759999999999998,-1.25,-2.9899999999999984,-1.3999999999999986,-3.460000000000001
250,-0.6500000000000021,-0.04999999999999716,-0.6400000000000006,-5.01,0.05999999999999872,-0.060000000000002274,-0.6000000000000014,-2.210000000000001,-0.6500000000000021,-3.960000000000001
251,0.019999999999999574,0.5599999999999987,0.020000000000003126,-4.3999999999999995,0.5899999999999999,0.5700000000000003,-0.019999999999999574,-1.3500000000000014,0.019999999999999574,-4.289999999999999
252,0.6000000000000014,1.0500000000000007,0.5799999999999983,-3.170000000000001,1.0199999999999996,1.120000000000001,0.5,-0.509999999999998,0.5600000000000023,-4.4
253,1.0799999999999983,1.4100000000000001,0.990000000000002,-1.2899999999999991,1.3399999999999999,1.5,0.9299999999999997,0.3000000000000007,0.9399999999999977,-4.2700000000000005
254,1.4200000000000017,1.629999999999999,1.2699999999999996,0.7699999999999996,1.5500000000000007,1.7399999999999984,1.25,1.0,1.2100000000000009,-3.94
255,1.6499999999999986,1.7300000000000004,1.4399999999999995,2.29,1.6600000000000001,1.8000000000000007,1.4499999999999993,1.5899999999999999,1.3699999999999992,-3.41
256,1.75,1.7599999999999998,1.5299999999999994,2.7699999999999996,1.7100000000000009,1.7300000000000004,1.5600000000000005,2.039999999999999,1.450000000000001,-2.7299999999999995
257,1.75,1.75,1.58,2.1600000000000006,1.75,1.58,1.58,2.3499999999999996,1.5299999999999994,-1.950000000000001
258,1.6900000000000013,1.7699999999999996,1.6400000000000006,0.8499999999999996,1.7899999999999991,1.42,1.549999999999999,2.5199999999999996,1.5999999999999996,-1.1600000000000001
259,1.6499999999999995,1.7599999999999998,1.709999999999999,-0.4099999999999997,1.83,1.2800000000000011,1.5300000000000011,2.59,1.7100000000000009,-0.3699999999999992
260,1.6000000000000005,1.7599999999999998,1.7700000000000005,-1.12,1.8900000000000006,1.209999999999999,1.5,2.5900000000000007,1.7699999999999996,0.3200000000000003
261,1.5899999999999999,1.7500000000000004,1.7999999999999998,-0.9699999999999998,1.9299999999999997,1.200000000000001,1.5,2.5,1.79,0.8599999999999994
262,1.63,1.75,1.7799999999999998,-0.2600000000000007,1.98,1.209999999999999,1.5,2.42,1.7800000000000002,1.25
