,still,still_music,hand_up,hand_down,walking,running,after_sprint,tapping_fingers,tapping_foot,flexing
54,0.5300000000000011,0.5300000000000011,0.5300000000000011,0.5300000000000011,0.5300000000000011,0.5300000000000011,0.5300000000000011,0.5300000000000011,0.5300000000000011,0.5300000000000011
55,0.8500000000000014,0.8500000000000014,0.8500000000000014,0.8500000000000014,0.8500000000000014,0.8500000000000014,0.8500000000000014,0.8500000000000014,0.8500000000000014,0.8500000000000014
56,1.2399999999999949,1.2399999999999949,1.2399999999999949,1.2399999999999949,1.2399999999999949,1.2399999999999949,1.2399999999999949,1.2399999999999949,1.2399999999999949,1.2399999999999949
57,0.8800000000000026,0.8800000000000026,0.8800000000000026,0.8800000000000026,0.8800000000000026,0.8800000000000026,0.8800000000000026,0.8800000000000026,0.8800000000000026,0.8800000000000026
58,0.3400000000000034,0.3400000000000034,0.3400000000000034,0.3400000000000034,0.3400000000000034,0.3400000000000034,0.3400000000000034,0.3400000000000034,0.3400000000000034,0.3400000000000034
59,-0.22000000000000597,-0.22000000000000597,-0.22000000000000597,-0.22000000000000597,-0.22000000000000597,-0.22000000000000597,-0.22000000000000597,-0.22000000000000597,-0.22000000000000597,-0.22000000000000597
60,-0.5899999999999963,-0.5899999999999963,-0.5899999999999963,-0.5899999999999963,-0.5899999999999963,-0.5899999999999963,-0.5899999999999963,-0.5899999999999963,-0.5899999999999963,-0.5899999999999963
61,-0.5300000000000011,-0.5300000000000011,-0.5300000000000011,-0.5300000000000011,-0.5300000000000011,-0.5300000000000011,-0.5300000000000011,-0.5300000000000011,-0.5300000000000011,-0.5300000000000011
62,-0.04999999999999716,-0.04999999999999716,-0.04999999999999716,-0.04999999999999716,-0.04999999999999716,-0.04999999999999716,-0.04999999999999716,-0.04999999999999716,-0.04999999999999716,-0.04999999999999716
63,0.6400000000000006,0.6400000000000006,0.6400000000000006,0.6400000000000006,0.6400000000000006,0.6400000000000006,0.6400000000000006,0.6400000000000006,0.6400000000000006,0.6400000000000006
64,1.1699999999999875,1.1699999999999875,1.1699999999999875,1.1699999999999875,1.1699999999999875,1.1699999999999875,1.1699999999999875,1.1699999999999875,1.1699999999999875,1.1699999999999875
65,1.680000000000021,1.680000000000021,1.680000000000021,1.680000000000021,1.680000000000021,1.680000000000021,1.680000000000021,1.680000000000021,1.680000000000021,1.680000000000021
66,1.1899999999999835,1.1899999999999835,1.1899999999999835,1.1899999999999835,1.1899999999999835,1.1899999999999835,1.1899999999999835,1.1899999999999835,1.1899999999999835,1.1899999999999835
67,0.38000000000000966,0.38000000000000966,0.38000000000000966,0.38000000000000966,0.38000000000000966,0.38000000000000966,0.38000000000000966,0.38000000000000966,0.38000000000000966,0.38000000000000966
68,-0.5100000000000051,-0.5100000000000051,-0.5100000000000051,-0.5100000000000051,-0.5100000000000051,-0.5100000000000051,-0.5100000000000051,-0.5100000000000051,-0.5100000000000051,-0.5100000000000051
69,-1.0699999999999932,-1.0699999999999932,-1.0699999999999932,-1.0699999999999932,-1.0699999999999932,-1.0699999999999932,-1.0699999999999932,-1.0699999999999932,-1.0699999999999932,-1.0699999999999932
70,-1.0600000000000165,-1.0600000000000165,-1.0600000000000165,-1.0600000000000165,-1.0600000000000165,-1.0600000000000165,-1.0600000000000165,-1.0600000000000165,-1.0600000000000165,-1.0600000000000165
71,-0.4299999999999784,-0.4299999999999784,-0.4299999999999784,-0.4299999999999784,-0.4299999999999784,-0.4299999999999784,-0.4299999999999784,-0.4299999999999784,-0.4299999999999784,-0.4299999999999784
72,0.8999999999999773,0.8999999999999773,0.8999999999999773,0.8999999999999773,0.8999999999999773,0.8999999999999773,0.8999999999999773,0.8999999999999773,0.8999999999999773,0.8999999999999773
73,-0.4299999999999784,-0.4299999999999784,-0.4299999999999784,-0.4299999999999784,-0.4299999999999784,-0.4299999999999784,-0.4299999999999784,-0.4299999999999784,-0.4299999999999784,-0.4299999999999784
74,1.849999999999966,1.849999999999966,1.849999999999966,1.849999999999966,1.849999999999966,1.849999999999966,1.849999999999966,1.849999999999966,1.849999999999966,1.849999999999966
75,2.440000000000026,2.440000000000026,2.440000000000026,2.440000000000026,2.440000000000026,2.440000000000026,2.440000000000026,2.440000000000026,2.440000000000026,2.440000000000026
76,2.530000000000001,2.530000000000001,2.530000000000001,2.530000000000001,2.530000000000001,2.530000000000001,2.530000000000001,2.530000000000001,2.530000000000001,2.530000000000001
77,1.3400000000000034,1.3400000000000034,1.3400000000000034,1.3400000000000034,1.3400000000000034,1.3400000000000034,1.3400000000000034,1.3400000000000034,1.3400000000000034,1.3400000000000034
78,-1.5800000000000125,-1.5800000000000125,-1.5800000000000125,-1.5800000000000125,-1.5800000000000125,-1.5800000000000125,-1.5800000000000125,-1.5800000000000125,-1.5800000000000125,-1.5800000000000125
79,-5.9199999999999875,-5.9199999999999875,-5.9199999999999875,-5.9199999999999875,-5.9199999999999875,-5.9199999999999875,-5.9199999999999875,-5.9199999999999875,-5.9199999999999875,-5.9199999999999875
80,-10.569999999999993,-10.569999999999993,-10.569999999999993,-10.569999999999993,-10.569999999999993,-10.569999999999993,-10.569999999999993,-10.569999999999993,-10.569999999999993,-10.569999999999993
81,-13.940000000000026,-13.940000000000026,-13.940000000000026,-13.940000000000026,-13.940000000000026,-13.940000000000026,-13.940000000000026,-13.940000000000026,-13.940000000000026,-13.940000000000026
82,-14.829999999999984,-14.829999999999984,-14.829999999999984,-14.829999999999984,-14.829999999999984,-14.829999999999984,-14.829999999999984,-14.829999999999984,-14.829999999999984,-14.829999999999984
83,-12.450000000000017,-12.450000000000017,-12.450000000000017,-12.450000000000017,-12.450000000000017,-12.450000000000017,-12.450000000000017,-12.450000000000017,-12.450000000000017,-12.450000000000017
84,-8.59999999999998,-8.59999999999998,-8.59999999999998,-8.59999999999998,-8.59999999999998,-8.59999999999998,-8.59999999999998,-8.59999999999998,-8.59999999999998,-8.59999999999998
85,-4.270000000000003,-4.270000000000003,-4.270000000000003,-4.270000000000003,-4.270000000000003,-4.270000000000003,-4.270000000000003,-4.270000000000003,-4.270000000000003,-4.270000000000003
86,-1.0300000000000011,-1.0300000000000011,-1.0300000000000011,-1.0300000000000011,-1.0300000000000011,-1.0300000000000011,-1.0300000000000011,-1.0300000000000011,-1.0300000000000011,-1.0300000000000011
